lengthscale,noise_var,mi_gv_uncert_ratio,pct_high_uncert,kendall_tau,auc_gv_vs_mi,gv_uncert_mean,mi_uncert_mean
0.1,0.01,0.881982432764568,100.0,-0.49076687981751027,0.13095238095238093,32296.251382044848,28484.726363112044
0.1,0.05,0.8819824327645701,100.0,-0.49076687981751027,0.13095238095238093,96888.75414613454,85454.17908933616
0.1,0.1,0.8819824327645703,100.0,-0.49076687981751027,0.13095238095238093,177629.38260124667,156665.99499711627
0.2,0.01,0.8819824327645654,100.0,-0.49076687981751027,0.13095238095238093,16148.125699096485,14242.363188677205
0.2,0.05,0.8819824327645692,100.0,-0.49076687981751027,0.13095238095238093,48444.37709728946,42727.089566031624
0.2,0.1,0.8819824327645699,100.0,-0.49076687981751027,0.13095238095238093,88814.69134503067,78332.99753772463
0.5,0.01,0.8819824327645575,100.0,-0.49076687981751027,0.13095238095238093,6459.250281576369,5696.945277179967
0.5,0.05,0.8819824327645658,100.0,-0.49076687981751027,0.13095238095238093,19377.750844729115,17090.83583153989
0.5,0.1,0.8819824327645683,100.0,-0.49076687981751027,0.13095238095238093,35525.876548670036,31333.199024489808
1.0,0.01,0.8819824327645436,70.0,-0.49076687981751027,0.13095238095238093,3229.6251411111475,2848.47263887483
1.0,0.05,0.8819824327645618,100.0,-0.49076687981751027,0.13095238095238093,9688.875423333444,8545.417916624492
1.0,0.1,0.8819824327645659,100.0,-0.49076687981751027,0.13095238095238093,17762.938276111312,15666.599513811563
