lengthscale,noise_var,seed,gv_uncert_mean,mi_uncert_mean,mi_gv_uncert_ratio,pct_high_uncert,kendall_tau,kendall_tau_pval,auc_gv_vs_mi
0.1,0.01,0,32296.251382044848,28484.726363112044,0.881982432764568,100.0,-0.49076687981751027,0.010562872887388596,0.13095238095238093
0.1,0.01,1,32296.251382044848,28484.726363112044,0.881982432764568,100.0,-0.49076687981751027,0.010562872887388596,0.13095238095238093
0.1,0.01,2,32296.251382044848,28484.726363112044,0.881982432764568,100.0,-0.49076687981751027,0.010562872887388596,0.13095238095238093
0.1,0.05,0,96888.75414613454,85454.17908933616,0.8819824327645701,100.0,-0.49076687981751027,0.010562872887388596,0.13095238095238093
0.1,0.05,1,96888.75414613454,85454.17908933616,0.8819824327645701,100.0,-0.49076687981751027,0.010562872887388596,0.13095238095238093
0.1,0.05,2,96888.75414613454,85454.17908933616,0.8819824327645701,100.0,-0.49076687981751027,0.010562872887388596,0.13095238095238093
0.1,0.1,0,177629.38260124667,156665.99499711627,0.8819824327645704,100.0,-0.49076687981751027,0.010562872887388596,0.13095238095238093
0.1,0.1,1,177629.38260124667,156665.99499711627,0.8819824327645704,100.0,-0.49076687981751027,0.010562872887388596,0.13095238095238093
0.1,0.1,2,177629.38260124667,156665.99499711627,0.8819824327645704,100.0,-0.49076687981751027,0.010562872887388596,0.13095238095238093
0.2,0.01,0,16148.125699096485,14242.363188677205,0.8819824327645654,100.0,-0.49076687981751027,0.010562872887388596,0.13095238095238093
0.2,0.01,1,16148.125699096485,14242.363188677205,0.8819824327645654,100.0,-0.49076687981751027,0.010562872887388596,0.13095238095238093
0.2,0.01,2,16148.125699096485,14242.363188677205,0.8819824327645654,100.0,-0.49076687981751027,0.010562872887388596,0.13095238095238093
0.2,0.05,0,48444.37709728946,42727.089566031624,0.8819824327645691,100.0,-0.49076687981751027,0.010562872887388596,0.13095238095238093
0.2,0.05,1,48444.37709728946,42727.089566031624,0.8819824327645691,100.0,-0.49076687981751027,0.010562872887388596,0.13095238095238093
0.2,0.05,2,48444.37709728946,42727.089566031624,0.8819824327645691,100.0,-0.49076687981751027,0.010562872887388596,0.13095238095238093
0.2,0.1,0,88814.69134503067,78332.99753772463,0.8819824327645699,100.0,-0.49076687981751027,0.010562872887388596,0.13095238095238093
0.2,0.1,1,88814.69134503067,78332.99753772463,0.8819824327645699,100.0,-0.49076687981751027,0.010562872887388596,0.13095238095238093
0.2,0.1,2,88814.69134503067,78332.99753772463,0.8819824327645699,100.0,-0.49076687981751027,0.010562872887388596,0.13095238095238093
0.5,0.01,0,6459.250281576369,5696.945277179967,0.8819824327645575,100.0,-0.49076687981751027,0.010562872887388596,0.13095238095238093
0.5,0.01,1,6459.250281576369,5696.945277179967,0.8819824327645575,100.0,-0.49076687981751027,0.010562872887388596,0.13095238095238093
0.5,0.01,2,6459.250281576369,5696.945277179967,0.8819824327645575,100.0,-0.49076687981751027,0.010562872887388596,0.13095238095238093
0.5,0.05,0,19377.750844729115,17090.83583153989,0.8819824327645658,100.0,-0.49076687981751027,0.010562872887388596,0.13095238095238093
0.5,0.05,1,19377.750844729115,17090.83583153989,0.8819824327645658,100.0,-0.49076687981751027,0.010562872887388596,0.13095238095238093
0.5,0.05,2,19377.750844729115,17090.83583153989,0.8819824327645658,100.0,-0.49076687981751027,0.010562872887388596,0.13095238095238093
0.5,0.1,0,35525.876548670036,31333.19902448981,0.8819824327645682,100.0,-0.49076687981751027,0.010562872887388596,0.13095238095238093
0.5,0.1,1,35525.876548670036,31333.19902448981,0.8819824327645682,100.0,-0.49076687981751027,0.010562872887388596,0.13095238095238093
0.5,0.1,2,35525.876548670036,31333.19902448981,0.8819824327645682,100.0,-0.49076687981751027,0.010562872887388596,0.13095238095238093
1.0,0.01,0,3229.6251411111475,2848.4726388748304,0.8819824327645436,70.0,-0.49076687981751027,0.010562872887388596,0.13095238095238093
1.0,0.01,1,3229.6251411111475,2848.4726388748304,0.8819824327645436,70.0,-0.49076687981751027,0.010562872887388596,0.13095238095238093
1.0,0.01,2,3229.6251411111475,2848.4726388748304,0.8819824327645436,70.0,-0.49076687981751027,0.010562872887388596,0.13095238095238093
1.0,0.05,0,9688.875423333444,8545.417916624492,0.8819824327645618,100.0,-0.49076687981751027,0.010562872887388596,0.13095238095238093
1.0,0.05,1,9688.875423333444,8545.417916624492,0.8819824327645618,100.0,-0.49076687981751027,0.010562872887388596,0.13095238095238093
1.0,0.05,2,9688.875423333444,8545.417916624492,0.8819824327645618,100.0,-0.49076687981751027,0.010562872887388596,0.13095238095238093
1.0,0.1,0,17762.938276111312,15666.599513811565,0.8819824327645659,100.0,-0.49076687981751027,0.010562872887388596,0.13095238095238093
1.0,0.1,1,17762.938276111312,15666.599513811565,0.8819824327645659,100.0,-0.49076687981751027,0.010562872887388596,0.13095238095238093
1.0,0.1,2,17762.938276111312,15666.599513811565,0.8819824327645659,100.0,-0.49076687981751027,0.010562872887388596,0.13095238095238093
