"Gene.name"	"Row.names"	"logFC"	"logCPM"	"F"	"PValue"	"FDR"	"11VG"	"37VG"	"38VG"	"50VG"	"54VG"	"55-VG"	"12MII"	"13-MII"	"16MII"	"17-MII"	"53MII"	"7-MII"	"85-MII"
"NDE1"	"ENSG00000275911"	-0.3583401	4.285027	0.428806	0.5194542	0.7378289	6.011938	6.151941	4.993417	5.565031	6.000097	6.111299	5.719993	7.01589	6.811213	6.467401	4.484953	4.497512	6.179527
"MYO15B"	"ENSG00000266714"	0.8793532	-0.1541098	0.4287758	0.5195275	0.7378669	-0.4458032	-2.564488	2.950662	-2.12795	-2.496473	-3.226806	2.04181	-3.872912	-0.1314939	-3.872912	-2.863499	-3.872912	-0.7837298
"TMEM106A"	"ENSG00000184988"	0.5993995	2.171723	0.4286269	0.5195994	0.7379028	2.458507	3.266445	2.327533	2.078033	2.144277	-0.9946182	0.3349819	0.8990684	3.143221	2.324292	2.405153	-2.991961	-1.457077
"SPAG5"	"ENSG00000076382"	0.5812679	4.336373	0.4284697	0.5196752	0.7379418	4.533157	4.480161	4.429324	5.696352	4.958055	3.009025	2.706213	2.892959	2.845898	4.298517	-3.872912	3.248924	6.188333
"CALB2"	"ENSG00000172137"	-0.6992247	2.52338	0.4282805	0.5197665	0.7379418	1.982871	0.6133045	4.595041	0.892432	1.452231	0.6702792	4.405207	3.653641	-0.9620269	-1.158355	1.937628	-3.872912	4.85389
"CALB2"	"ENSG00000282830"	-0.6992247	2.52338	0.4282805	0.5197665	0.7379418	1.982871	0.6133045	4.595041	0.892432	1.452231	0.6702792	4.405207	3.653641	-0.9620269	-1.158355	1.937628	-3.872912	4.85389
"KLHL42"	"ENSG00000087448"	-0.3996894	4.968534	0.4281803	0.5198148	0.7379444	4.794744	4.136394	4.542859	4.122796	4.709872	4.841175	4.906631	4.049662	4.891853	3.844117	6.144936	5.77787	-1.086266
"FMO7P"	"ENSG00000230231"	0.8469621	-0.3657953	0.42786	0.5199695	0.7380978	-3.872912	-1.761015	-0.439481	-0.199944	-2.179739	-0.5453658	-3.872912	-1.170404	-1.187197	-0.05007242	-3.872912	-3.872912	-3.872912
"B4GALT6"	"ENSG00000118276"	-0.3575291	5.560662	0.4272156	0.520281	0.7383898	4.581728	4.776549	4.049581	5.109467	5.405545	5.985169	4.359437	4.29443	5.221359	5.578361	7.247118	4.864276	2.238138
"POC1B-GALNT4"	"ENSG00000259075"	-0.7040992	1.700302	0.4271827	0.5202969	0.7383898	0.9923153	2.175203	1.204077	0.4283776	0.6422013	-0.9495942	2.048909	2.786001	2.512773	2.474642	-0.7967175	-3.872912	-3.872882
"TTBK2"	"ENSG00000128881"	-0.3317941	3.959936	0.4269351	0.5203212	0.7383898	3.453904	3.110812	3.635873	3.227007	3.996879	3.961102	4.771368	3.463894	3.552376	2.926232	4.103164	4.04414	3.959897
"LHX8"	"ENSG00000162624"	0.3050912	6.656889	0.4270489	0.5203615	0.7383898	7.020805	7.149342	6.322293	7.054317	6.724742	5.872891	5.452556	6.663694	7.751953	6.928382	4.647266	4.185966	6.44933
"CDK11B"	"ENSG00000248333"	-0.3354557	3.647131	0.4266738	0.5204477	0.7384408	3.304505	3.524699	3.862589	3.104743	2.91183	3.89249	3.546151	4.308681	2.006541	3.584789	2.882889	4.17685	4.665588
"TICAM2"	"ENSG00000243414"	0.8567841	-1.365932	0.4267822	0.5204906	0.7384408	-3.32242	-2.188066	1.168839	-1.327658	-3.872912	-3.872912	-0.6410406	-0.6387236	-1.16307	-2.276816	-2.920495	-3.872912	-3.872912
"ZNF302"	"ENSG00000089335"	0.3147389	4.783495	0.4264046	0.5205868	0.738499	4.463901	4.477085	4.578649	5.455407	5.260697	4.079735	4.068414	4.29786	3.886492	5.350778	4.323907	5.210596	3.004328
"TANGO2"	"ENSG00000183597"	-0.3451404	2.017819	0.4263079	0.5206248	0.738499	1.933587	2.187005	1.580657	1.925567	1.763199	2.045271	3.258742	1.95949	2.360681	1.83265	1.103002	2.003158	2.368164
"DHCR7"	"ENSG00000172893"	0.3741473	6.015267	0.4263033	0.5207224	0.7385714	7.166766	6.461254	5.895686	6.580881	5.43417	0.8507688	5.418143	6.484881	6.539403	6.24965	5.555818	4.286652	4.403016
